CASRN,SMILES
13963-57-0,CC(=O)[CH-]\C(C)=[O+]/[Al](\[O+]=C(\C)[CH-]C(C)=O)\[O+]=C(\C)[CH-]C(C)=O
122-39-4,N(C1=CC=CC=C1)C1=CC=CC=C1
2156-97-0,CCCCCCCCCCCCOC(=O)C=C
895525-72-1,CC(=O)OCNC(=O)C1=C(C=CC=C1)C(F)(F)F
52671-72-4,OC(=O)C1=CC=C2C(=O)OC(=O)C3=C2C1=C(C=C3)C(O)=O
2235-00-9,C=CN1CCCCCC1=O
59-50-7,CC1=C(Cl)C=CC(O)=C1
77745-66-5,CC(C)CCCCCCCCCCOP(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C
100-69-6,C=CC1=NC=CC=C1
54381-16-7,OS(O)(=O)=O.NC1=CC=C(C=C1)N(CCO)CCO
183476-82-6,[H][C@@]1(OC(=O)C(OC(=O)C(CCCCCC)CCCCCCCC)=C1OC(=O)C(CCCCCC)CCCCCCCC)[C@H](COC(=O)C(CCCCCC)CCCCCCCC)OC(=O)C(CCCCCC)CCCCCCCC
106-75-2,ClC(=O)OCCOCCOC(Cl)=O
95-88-5,OC1=CC=C(Cl)C(O)=C1
321-97-1,CN[C@H](C)[C@H](O)C1=CC=CC=C1
