CASRN,Canonical_QSARr
10563-29-8,CN(C)CCCNCCCN
70210-06-9,CCN(CC1C=C(C=CC=1)S(O)(=O)=O)C1C=CC(=CC=1)N=NC1=CC=C(N=NC2C=C(C=CC=2)S(O)(=O)=O)C2=CC=CC=C12
35130-97-3,CN1C2CC(CC1CC2)OS(C)(=O)=O
65-85-0,OC(=O)C1C=CC=CC=1
104-68-7,OCCOCCOC1C=CC=CC=1
151-21-3,CCCCCCCCCCCCOS(O)(=O)=O
24916-90-3,CC1CC2C3CCC4=CC(=O)C=CC4(C)C43OC4CC2(C)C1(O)C(=O)CO
4253-34-3,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O
61931-80-4,CCC(C)=CCCC(C)(C=C)OC(C)=O
4191-73-5,CC(C)OC(=O)C1C=CC(O)=CC=1
112-34-5,CCCCOCCOCCO
868-77-9,CC(=C)C(=O)OCCO
15356-60-2,CC(C)C1CCC(C)CC1O
124-13-0,CCCCCCCC=O
95-54-5,NC1C=CC=CC=1N
100-52-7,O=CC1C=CC=CC=1
41621-49-2,CC1C=C(C2CCCCC2)N(O)C(=O)C=1
2867-47-2,CC(=C)C(=O)OCCN(C)C
71-36-3,CCCCO
112-72-1,CCCCCCCCCCCCCCO
6990-43-8,CCCCOP(S)(=S)OCCCC
20780-48-7,CCC(C)(CCCC(C)C)OC(C)=O
142-62-1,CCCCCC(O)=O
294-62-2,C1CCCCCCCCCCC1
3558-60-9,COCCC1C=CC=CC=1
134-31-6,OC1C=CC=C2C=CC=NC2=1
919-30-2,CCO[Si](CCCN)(OCC)OCC
599-64-4,CC(C)(C1C=CC=CC=1)C1C=CC(O)=CC=1
101-96-2,CC(CC)NC1C=CC(=CC=1)NC(C)CC
5421-46-5,OC(=O)CS
67905-17-3,CC(=O)NC1C=CC(=CC=1)NC1C=CC(O)=C2C=1C(=O)C1C=CC=CC=1C2=O
13419-67-5,CC(S)C(O)=O
713-95-1,CCCCCCCC1CCCC(=O)O1
61337-89-1,CN1CCN(C(C1)C1C=CC=CC=1)C1N=CC=CC=1CO
584-84-9,CC1=CC=C(C=C1N=C=O)N=C=O
